1	3,4,5
2	1,2,16
3	16
4	1,5,8
5	6,8,16
6	8
7	8,15
8	4,5,8
9	8
10	8,17
11	6,16
12	6,16
13	5
14	8,14
15	8
16	5,14
17	1,5,6,11,16
18	8
19	8
20	8,14
21	1,2,5,12,16
22	1,8,17
23	8,16
24	1,2,6
25	5
26	5
27	1
28	1,8,16
29	1,2,5,6
30	8
31	8,16,17
32	7
33	1,14,16
34	5,8
35	2,4,8
36	8,14
37	8
38	15,16
39	1,6,15
40	5
41	5
42	5
43	8,16
44	8,16
45	5,8
46	8
47	5,8
48	7
49	5,14
50	1,2,14,15,17
51	8,14,17,18
52	8
53	1,16
54	1,8,16
55	6,8,14,16
56	6,8
57	8
58	8
59	8
60	8
61	8
62	1,2,15
63	4,5
64	8
65	5,8
66	5,14
67	5
68	1,14,16
69	5,14,17
70	5,14
71	3,4,12
72	5,6,9
73	1,5,18
74	1,5,8
75	7
76	6,8
77	8,16
78	2,4,8
79	1,16
80	1,5,17
81	5,14
82	1,2,15
83	5,14
84	11,15
85	5
86	8
87	8
88	5,14
89	10,15
90	5,14,16
91	4,5,12
92	1,6,14
93	5,8
94	4,5
95	3,4,5,12
96	1,15,16
97	2,8,18
98	8,16
99	3,4,12
100	6,8,16
101	1,2,3,11,15
102	3,4
103	3,4,12
104	5
105	5
106	8,16
107	8
108	5
109	5,15
110	1,2,5,17
111	5,14
112	2,4
113	8
114	3
115	7
116	5
117	1,2,16
118	1,2,16
119	7
120	5,6
121	1,15,17
122	5
123	5,11
124	8,13
125	8,14
126	8
127	1,6,8
128	1,16
129	6,8,14,16
130	6
131	8,14
132	2,4,8,12
133	8,14,17
134	8
135	8,13,15,16
136	8
137	8
138	4,5
139	4,5
140	2,4
141	2,4,9,15
142	2,4,12
143	12
144	1,16
145	1,15,16
146	8
147	1,16
148	1,2
149	8
150	5,8
151	2,4,5
152	5,15
153	5
154	5
155	12,14
156	6,16
157	8,17
158	5
159	13,16
160	8
161	1,14
162	8
163	5
164	1,2,15,16
165	8
166	8
167	5
168	5
169	3,5
170	5,8,14
171	5,15
172	1,2,8,14,15,17
173	1,2,5,14
174	1,2
175	15
176	1,15,16,17
177	1,18
178	8
179	15
180	8,17
181	1,2,14,15,17
182	6,8
183	1,11,15,16
184	1,2,5,11,15
185	11,14,16
186	1,5,12
187	1,6,8
188	1,8,17
189	3,5
190	8,17
191	8,13
192	8
193	8
194	5,6
195	1,15,16
196	8
197	8,14
198	16
199	8,17
200	11
201	1,2,5,11
202	5,14
203	18
204	5,15
205	8,17
206	2,3,15,16
207	1,8,14
208	5,11
209	5,8,12
210	1,2
211	5,17
212	8
213	8,14
214	8,12,17
215	8
216	5,14
217	11,14
218	16
219	11
220	5,14
221	8
222	1,2,15
223	8,16
224	8
225	4,5
226	1,16
227	1,2,15
228	1,2,15
229	1,2,15
230	1,2,15
231	1,2,5,6
232	1,5,18
233	1
234	1,11
235	1,5,15,17
236	5,8
